epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2581.89,1.01546,1.17581,0.01202,0.74275,0.56012,0.65552,0.49154,1.05617,1.40187,0.01271,0.00748,0.00748,0.00748
44,2641.56,1.00565,1.17555,0.01197,0.69649,0.54642,0.6411,0.47402,1.04921,1.47643,0.01283,0.00742,0.00742,0.00742
45,2701.26,0.99557,1.15245,0.01195,0.67319,0.59884,0.65395,0.48186,1.07223,1.48942,0.01284,0.00736,0.00736,0.00736
46,2760.86,0.98709,1.13692,0.01184,0.67736,0.56621,0.62782,0.46844,1.05809,1.54468,0.01263,0.0073,0.0073,0.0073
47,2820.47,0.98126,1.1322,0.01178,0.75711,0.55984,0.67161,0.50515,1.05946,1.40365,0.01296,0.00724,0.00724,0.00724
48,2880.24,0.9779,1.13263,0.01172,0.66432,0.57991,0.64001,0.47969,1.05692,1.48265,0.01292,0.00718,0.00718,0.00718
49,2939.76,0.97124,1.10736,0.0116,0.72534,0.54667,0.64981,0.493,1.05106,1.4792,0.01271,0.00712,0.00712,0.00712
50,2999.38,0.9745,1.10664,0.01152,0.7297,0.55883,0.63699,0.48571,1.05894,1.63061,0.01277,0.00706,0.00706,0.00706
51,3058.98,0.96345,1.10382,0.01136,0.67815,0.621,0.67222,0.49879,1.05205,1.43878,0.01244,0.007,0.007,0.007
52,3118.62,0.96076,1.06949,0.01131,0.74696,0.53469,0.64412,0.47938,1.03262,1.50423,0.01228,0.00694,0.00694,0.00694
53,3178.22,0.95627,1.06425,0.01146,0.70111,0.56055,0.64217,0.48232,1.04312,1.46638,0.01253,0.00688,0.00688,0.00688
54,3237.87,0.95126,1.04618,0.0114,0.76355,0.54642,0.65532,0.4982,1.03957,1.44255,0.01248,0.00682,0.00682,0.00682
55,3297.45,0.94243,1.03308,0.01124,0.67779,0.59232,0.65096,0.49213,1.02835,1.50875,0.01217,0.00676,0.00676,0.00676
56,3357.22,0.92222,1.01608,0.01078,0.71872,0.56012,0.65631,0.4918,1.03847,1.50948,0.01266,0.0067,0.0067,0.0067
57,3416.75,0.93712,1.02995,0.01127,0.66131,0.59209,0.65335,0.4827,1.07278,1.45263,0.01297,0.00664,0.00664,0.00664
58,3476.37,0.92758,1.01499,0.01099,0.76831,0.58043,0.65699,0.49805,1.04044,1.52609,0.01239,0.00658,0.00658,0.00658
59,3535.98,0.92124,0.98744,0.01088,0.77038,0.53425,0.64676,0.48927,1.04864,1.60634,0.01252,0.00652,0.00652,0.00652
60,3595.47,0.92497,1.00906,0.01096,0.70708,0.57078,0.6518,0.50117,1.01722,1.51451,0.01213,0.00646,0.00646,0.00646
61,3655.05,0.91743,0.9975,0.01084,0.77074,0.52511,0.63719,0.48031,1.04633,1.62675,0.01246,0.0064,0.0064,0.0064
