epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1678.31,1.01653,1.15765,0.01198,0.73186,0.51294,0.59329,0.43529,1.0949,1.6661,0.01323,0.00742,0.00742,0.00742
45,1716.37,1.01839,1.18301,0.01193,0.66815,0.5586,0.62463,0.45235,1.08,1.45151,0.01303,0.00736,0.00736,0.00736
46,1754.55,1.00583,1.15455,0.0118,0.67592,0.59056,0.63775,0.47277,1.07002,1.44318,0.01284,0.0073,0.0073,0.0073
47,1792.65,1.00956,1.13403,0.01167,0.68844,0.57382,0.62712,0.46244,1.05055,1.47836,0.01266,0.00724,0.00724,0.00724
48,1830.78,1.00338,1.10978,0.01183,0.61522,0.59817,0.63355,0.46342,1.08777,1.45045,0.0132,0.00718,0.00718,0.00718
49,1868.98,0.99781,1.10729,0.01167,0.6296,0.56469,0.61637,0.45452,1.06897,1.54156,0.01288,0.00712,0.00712,0.00712
50,1906.99,0.99954,1.1207,0.01141,0.65017,0.58752,0.63097,0.45842,1.07649,1.50963,0.01316,0.00706,0.00706,0.00706
51,1945.21,0.98755,1.1019,0.01138,0.65102,0.58143,0.62845,0.47025,1.04921,1.52496,0.01252,0.007,0.007,0.007
52,1983.17,0.97475,1.06475,0.01144,0.67956,0.54795,0.61022,0.46256,1.04972,1.61751,0.0125,0.00694,0.00694,0.00694
53,2021.35,0.97758,1.05974,0.0112,0.65496,0.59817,0.64839,0.47128,1.05943,1.41546,0.01272,0.00688,0.00688,0.00688
54,2059.49,0.96947,1.06181,0.01124,0.68004,0.58553,0.62617,0.47468,1.05323,1.51825,0.0125,0.00682,0.00682,0.00682
55,2097.62,0.97294,1.03271,0.01133,0.68436,0.56317,0.63505,0.46339,1.10783,1.54788,0.01353,0.00676,0.00676,0.00676
56,2135.73,0.96763,1.03834,0.01108,0.72264,0.56317,0.63562,0.47681,1.04116,1.43818,0.01254,0.0067,0.0067,0.0067
57,2173.85,0.95789,1.03937,0.01108,0.70907,0.575,0.6333,0.48009,1.04143,1.46419,0.01258,0.00664,0.00664,0.00664
58,2212.1,0.95116,1.0078,0.01101,0.7321,0.54071,0.62407,0.47069,1.05667,1.59262,0.01278,0.00658,0.00658,0.00658
59,2250.16,0.94759,0.99414,0.01098,0.67925,0.57053,0.62242,0.4675,1.08064,1.62653,0.01287,0.00652,0.00652,0.00652
60,2288.28,0.95667,1.01465,0.01115,0.69697,0.58752,0.63601,0.48361,1.02672,1.51137,0.01238,0.00646,0.00646,0.00646
61,2326.4,0.94181,0.99325,0.01086,0.70787,0.55251,0.62026,0.46516,1.06216,1.62319,0.01266,0.0064,0.0064,0.0064
62,2364.68,0.942,0.98634,0.01074,0.70638,0.55251,0.62785,0.47093,1.05481,1.55051,0.01252,0.00634,0.00634,0.00634
63,2402.79,0.92678,0.99072,0.01093,0.69604,0.56317,0.63593,0.48632,1.02665,1.58216,0.01232,0.00628,0.00628,0.00628
64,2440.87,0.92545,0.97772,0.01076,0.7374,0.55992,0.62314,0.47826,1.04665,1.6299,0.01239,0.00622,0.00622,0.00622
65,2479.06,0.919,0.9598,0.01052,0.72829,0.54669,0.6204,0.4744,1.03924,1.71681,0.01244,0.00616,0.00616,0.00616
66,2517.15,0.90954,0.94616,0.01052,0.74955,0.52842,0.61441,0.48105,1.00915,1.67456,0.01181,0.0061,0.0061,0.0061
67,2555.41,0.91552,0.96077,0.01037,0.68676,0.57686,0.62218,0.46383,1.07164,1.64842,0.01278,0.00604,0.00604,0.00604
68,2593.43,0.91012,0.94632,0.01061,0.69903,0.54947,0.61447,0.47102,1.05587,1.61964,0.01241,0.00598,0.00598,0.00598
69,2631.55,0.90099,0.93265,0.01025,0.7016,0.54395,0.62082,0.47776,1.03576,1.61539,0.01224,0.00592,0.00592,0.00592
70,2669.67,0.89939,0.94006,0.01045,0.667,0.5723,0.62296,0.47456,1.03189,1.66772,0.01237,0.00586,0.00586,0.00586
71,2707.69,0.89506,0.92647,0.01031,0.72071,0.57686,0.62299,0.47109,1.0369,1.69985,0.0122,0.0058,0.0058,0.0058
72,2745.81,0.88345,0.91279,0.01023,0.69684,0.56679,0.62878,0.47321,1.04063,1.67039,0.01245,0.00574,0.00574,0.00574
73,2783.78,0.87171,0.90312,0.01004,0.72811,0.55556,0.62329,0.47394,1.03275,1.7258,0.0122,0.00568,0.00568,0.00568
74,2821.91,0.88906,0.9119,0.01017,0.66064,0.56317,0.61283,0.46787,1.06178,1.79979,0.01263,0.00562,0.00562,0.00562
75,2859.86,0.88118,0.90039,0.01017,0.73939,0.54642,0.61485,0.47334,1.06807,1.78047,0.0127,0.00556,0.00556,0.00556
76,2898.03,0.86511,0.8895,0.00984,0.71339,0.5607,0.61103,0.45535,1.09697,1.76971,0.01275,0.0055,0.0055,0.0055
77,2936.25,0.87104,0.89514,0.00999,0.73075,0.55355,0.62691,0.47924,1.05248,1.63166,0.01245,0.00544,0.00544,0.00544
78,2974.25,0.85949,0.86787,0.00989,0.67096,0.57108,0.62202,0.47045,1.05067,1.69706,0.01235,0.00538,0.00538,0.00538
79,3012.44,0.8596,0.87272,0.0101,0.71974,0.56288,0.63151,0.48181,1.03737,1.6518,0.0122,0.00532,0.00532,0.00532
80,3050.43,0.85952,0.86269,0.0099,0.70631,0.57686,0.63677,0.47958,1.03345,1.66998,0.01213,0.00526,0.00526,0.00526
81,3088.48,0.85074,0.87596,0.00976,0.74992,0.53425,0.62175,0.47656,1.06557,1.73883,0.01245,0.0052,0.0052,0.0052
82,3126.56,0.84753,0.85295,0.00981,0.75275,0.5449,0.63708,0.48751,1.02694,1.64283,0.01203,0.00514,0.00514,0.00514
83,3164.65,0.84237,0.8372,0.00977,0.72498,0.55372,0.62604,0.4718,1.08332,1.72305,0.01264,0.00508,0.00508,0.00508
84,3202.85,0.84021,0.84706,0.00955,0.68611,0.5723,0.62055,0.47354,1.05425,1.71703,0.01231,0.00502,0.00502,0.00502
85,3240.83,0.83812,0.83122,0.00952,0.74397,0.54033,0.62692,0.47815,1.06141,1.73648,0.01268,0.00496,0.00496,0.00496
86,3278.91,0.83164,0.82935,0.00958,0.71521,0.57078,0.62797,0.47766,1.05218,1.75308,0.0123,0.0049,0.0049,0.0049
87,3316.94,0.8203,0.81226,0.00939,0.68925,0.57392,0.62343,0.48197,1.05712,1.76615,0.01243,0.00484,0.00484,0.00484
88,3355.14,0.83111,0.81009,0.00943,0.67134,0.57518,0.63598,0.48207,1.05837,1.70807,0.01249,0.00478,0.00478,0.00478
89,3393.14,0.82468,0.81191,0.00945,0.7155,0.58185,0.64003,0.48644,1.05328,1.68245,0.01239,0.00472,0.00472,0.00472
90,3431.08,0.82424,0.80288,0.00944,0.70334,0.55708,0.61681,0.4791,1.06316,1.78427,0.01242,0.00466,0.00466,0.00466
91,3469.16,0.82269,0.80574,0.00926,0.72957,0.56665,0.63023,0.47755,1.06247,1.72291,0.01229,0.0046,0.0046,0.0046
92,3507.09,0.80701,0.79524,0.00913,0.72736,0.55099,0.61428,0.47469,1.05037,1.8246,0.01227,0.00454,0.00454,0.00454
93,3545.11,0.81082,0.79114,0.00929,0.71226,0.55403,0.61266,0.47521,1.05813,1.88663,0.01242,0.00448,0.00448,0.00448
94,3583.27,0.81352,0.80513,0.00929,0.71525,0.55818,0.62289,0.47893,1.05125,1.80955,0.01211,0.00442,0.00442,0.00442
95,3621.45,0.80012,0.80321,0.00916,0.7469,0.54947,0.62533,0.48717,1.07174,1.76342,0.01274,0.00436,0.00436,0.00436
96,3659.64,0.79965,0.77257,0.00911,0.72321,0.55403,0.61128,0.46734,1.06482,1.89213,0.0126,0.0043,0.0043,0.0043
97,3697.66,0.78119,0.76851,0.00884,0.72783,0.55556,0.62819,0.48592,1.04925,1.82723,0.01232,0.00424,0.00424,0.00424
98,3735.91,0.78473,0.75293,0.00881,0.73893,0.5299,0.61757,0.48044,1.03625,1.90044,0.01205,0.00418,0.00418,0.00418
99,3773.92,0.78911,0.76922,0.00888,0.70648,0.53577,0.60618,0.46974,1.06184,1.95708,0.01231,0.00412,0.00412,0.00412
100,3811.99,0.77357,0.75653,0.00907,0.73136,0.56469,0.63105,0.48078,1.07625,1.79815,0.01259,0.00406,0.00406,0.00406
101,3850.12,0.77308,0.7504,0.00878,0.70233,0.5746,0.62088,0.47436,1.05421,1.85893,0.01241,0.004,0.004,0.004
102,3888.27,0.77103,0.74704,0.00888,0.74737,0.53585,0.6165,0.47548,1.08254,1.85433,0.0128,0.00394,0.00394,0.00394
103,3926.49,0.77126,0.74559,0.00882,0.76486,0.53729,0.61949,0.47344,1.05337,1.75002,0.01247,0.00388,0.00388,0.00388
104,3964.44,0.76174,0.75765,0.00868,0.68665,0.5586,0.60456,0.46868,1.08523,1.95553,0.01275,0.00382,0.00382,0.00382
105,4002.61,0.76896,0.74336,0.00879,0.74755,0.54338,0.60875,0.47376,1.05808,1.8838,0.01239,0.00376,0.00376,0.00376
106,4040.56,0.7574,0.74046,0.00868,0.71685,0.53881,0.60046,0.46803,1.06623,1.84917,0.0126,0.0037,0.0037,0.0037
107,4078.63,0.76032,0.73338,0.00873,0.71417,0.54383,0.60372,0.47414,1.08464,1.89818,0.01261,0.00364,0.00364,0.00364
108,4116.8,0.75987,0.71644,0.00868,0.73484,0.55679,0.62917,0.48397,1.05745,1.85124,0.01255,0.00358,0.00358,0.00358
109,4155.02,0.76677,0.72108,0.00869,0.72704,0.53515,0.60935,0.47196,1.07017,1.987,0.0125,0.00352,0.00352,0.00352
110,4193.23,0.7454,0.71247,0.00833,0.75949,0.54033,0.61118,0.47351,1.09405,1.93035,0.01283,0.00346,0.00346,0.00346
111,4231.42,0.73802,0.70954,0.00839,0.74819,0.54795,0.61625,0.46962,1.07138,1.93842,0.01256,0.0034,0.0034,0.0034
112,4269.41,0.7371,0.7056,0.00828,0.6934,0.56773,0.60111,0.47121,1.08989,1.98577,0.01277,0.00334,0.00334,0.00334
113,4307.6,0.74695,0.70988,0.00843,0.73839,0.5449,0.60309,0.46618,1.08164,1.99057,0.01268,0.00328,0.00328,0.00328
114,4345.76,0.7314,0.70691,0.00828,0.71761,0.55697,0.60091,0.46459,1.08701,1.99461,0.0129,0.00322,0.00322,0.00322
