epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2194.85,1.01622,1.18299,0.01203,0.70197,0.58436,0.65709,0.48525,1.06309,1.38951,0.01289,0.00742,0.00742,0.00742
45,2244.11,1.02375,1.16259,0.01233,0.66375,0.5997,0.65624,0.49236,1.05493,1.46669,0.01262,0.00736,0.00736,0.00736
46,2293.67,1.01084,1.14959,0.01211,0.68213,0.57839,0.65677,0.49923,1.03652,1.43095,0.01251,0.0073,0.0073,0.0073
47,2343.14,1.00502,1.1426,0.01205,0.66549,0.60258,0.65328,0.50354,1.05024,1.48593,0.01263,0.00724,0.00724,0.00724
48,2392.57,1.0047,1.12788,0.01201,0.73061,0.54902,0.63477,0.48635,1.05569,1.50776,0.01265,0.00718,0.00718,0.00718
49,2441.83,0.98785,1.11671,0.01175,0.69899,0.58295,0.64619,0.48562,1.06608,1.52864,0.01292,0.00712,0.00712,0.00712
50,2491.1,0.99782,1.11689,0.01181,0.7272,0.55585,0.63288,0.47159,1.06956,1.58263,0.0129,0.00706,0.00706,0.00706
51,2540.41,0.98865,1.11529,0.01161,0.73786,0.58904,0.6444,0.49246,1.03894,1.48656,0.01251,0.007,0.007,0.007
52,2589.68,0.98286,1.09051,0.01161,0.70235,0.58903,0.6421,0.48528,1.06353,1.54131,0.01265,0.00694,0.00694,0.00694
53,2638.93,0.97666,1.08663,0.01163,0.77736,0.56317,0.65422,0.50127,1.0542,1.48556,0.01293,0.00688,0.00688,0.00688
54,2688.18,0.96289,1.07986,0.0115,0.7617,0.57896,0.65373,0.49502,1.06429,1.39307,0.01289,0.00682,0.00682,0.00682
55,2737.44,0.96341,1.05643,0.01146,0.76609,0.55403,0.65364,0.50292,1.0231,1.52634,0.01241,0.00676,0.00676,0.00676
56,2786.67,0.94007,1.0453,0.01095,0.70506,0.57534,0.63679,0.49479,1.00771,1.5331,0.01206,0.0067,0.0067,0.0067
57,2835.95,0.95289,1.05956,0.0115,0.7377,0.55556,0.64379,0.49458,1.07158,1.60471,0.01297,0.00664,0.00664,0.00664
58,2885.25,0.94305,1.0401,0.01113,0.7316,0.59513,0.66674,0.50739,1.04279,1.45581,0.01234,0.00658,0.00658,0.00658
59,2934.8,0.93142,1.03845,0.0109,0.77717,0.54186,0.64423,0.49447,1.02841,1.57131,0.01198,0.00652,0.00652,0.00652
60,2984.08,0.94468,1.03135,0.01115,0.74988,0.57686,0.65644,0.49567,1.01346,1.4573,0.01203,0.00646,0.00646,0.00646
61,3033.35,0.93413,1.01078,0.01091,0.71932,0.60578,0.65585,0.50643,1.05165,1.50813,0.01251,0.0064,0.0064,0.0064
62,3082.63,0.9284,1.01202,0.011,0.74349,0.58233,0.66581,0.51751,1.04263,1.47211,0.01259,0.00634,0.00634,0.00634
63,3132.13,0.92438,0.97412,0.01074,0.79344,0.52968,0.63917,0.49359,1.02737,1.64892,0.0123,0.00628,0.00628,0.00628
